iter	Passed	Remaining
0	149	149497
1	155	77446
2	158	52825
3	162	40420
4	165	32945
5	168	27884
6	170	24225
7	173	21482
8	175	19322
9	177	17593
10	181	16348
11	189	15639
12	192	14616
13	195	13743
14	197	12971
15	199	12285
16	201	11679
17	204	11145
18	206	10664
19	209	10242
20	211	9863
21	214	9514
22	216	9193
23	218	8898
24	221	8623
25	223	8371
26	225	8136
27	228	7916
28	230	7706
29	232	7514
30	234	7333
31	236	7162
32	239	7008
33	241	6860
34	243	6718
35	245	6585
36	248	6455
37	250	6335
38	252	6227
39	255	6122
40	257	6012
41	258	5906
42	260	5805
43	262	5706
44	264	5613
45	266	5524
46	268	5444
47	270	5364
48	272	5285
49	274	5208
50	275	5135
51	277	5063
52	279	4995
53	281	4929
54	283	4868
55	285	4808
56	287	4748
57	288	4691
58	290	4636
59	292	4583
60	294	4531
61	296	4481
62	298	4434
63	300	4388
64	301	4342
65	303	4298
66	305	4254
67	307	4212
68	309	4171
69	310	4131
70	313	4100
71	315	4065
72	317	4032
73	319	3998
74	321	3968
75	323	3938
76	325	3905
77	328	3877
78	329	3845
79	331	3814
80	333	3787
81	335	3758
82	337	3728
83	339	3701
84	341	3673
85	343	3647
86	345	3621
87	346	3595
88	348	3570
89	350	3545
90	352	3521
91	354	3498
92	356	3475
93	358	3452
94	360	3429
95	362	3409
96	363	3387
97	365	3365
98	367	3344
99	369	3323
100	371	3303
101	373	3286
102	375	3266
103	377	3248
104	378	3229
105	380	3210
106	382	3192
107	384	3173
108	386	3155
109	387	3138
110	390	3128
111	392	3112
112	394	3094
113	396	3078
114	397	3062
115	399	3045
116	401	3031
117	403	3015
118	405	3001
119	407	2986
120	409	2972
121	411	2957
122	412	2943
123	414	2929
124	416	2915
125	418	2901
126	420	2890
127	422	2877
128	424	2864
129	426	2851
130	427	2838
131	429	2825
132	431	2813
133	433	2801
134	435	2788
135	437	2776
136	438	2763
137	440	2752
138	442	2740
139	444	2728
140	445	2716
141	447	2704
142	449	2693
143	451	2682
144	453	2672
145	455	2662
146	456	2651
147	458	2640
148	460	2630
149	462	2620
150	464	2609
151	466	2600
152	467	2589
153	469	2579
154	471	2569
155	473	2559
156	474	2549
157	476	2539
158	478	2529
159	480	2520
160	482	2511
161	483	2502
162	485	2493
163	487	2484
164	489	2474
165	490	2465
166	492	2457
167	494	2449
168	496	2441
169	498	2434
170	500	2428
171	503	2422
172	504	2413
173	506	2406
174	508	2399
175	510	2391
176	512	2384
177	514	2376
178	516	2369
179	518	2363
180	520	2355
181	522	2349
182	524	2343
183	527	2340
184	530	2338
185	533	2333
186	535	2327
187	537	2320
188	539	2316
189	542	2314
